"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Apr 22, 2022","
",4.6020,"
",4.7010,"
",4.7235,"
",4.5890,"
",40.30K, ,-2.55%,"
"
"
","Apr 21, 2022","
",4.7225,"
",4.6865,"
",4.7355,"
",4.6545,"
",31.52K, ,1.01%,"
"
"
","Apr 20, 2022","
",4.6755,"
",4.7215,"
",4.7310,"
",4.6465,"
",30.34K, ,-1.35%,"
"
"
","Apr 19, 2022","
",4.7395,"
",4.8225,"
",4.8285,"
",4.7015,"
",29.60K, ,-1.70%,"
"
"
","Apr 18, 2022","
",4.8215,"
",4.7600,"
",4.8600,"
",4.7055,"
",16.55K, ,2.14%,"
"
"
","Apr 15, 2022","
",4.7205,"
",4.7205,"
",4.7205,"
",4.7205,"
",-, ,-0.43%,"
"
"
","Apr 14, 2022","
",4.7410,"
",4.7170,"
",4.7580,"
",4.6850,"
",15.69K, ,0.22%,"
"
"
","Apr 13, 2022","
",4.7305,"
",4.7110,"
",4.7710,"
",4.6920,"
",27.14K, ,0.06%,"
"
"
","Apr 12, 2022","
",4.7275,"
",4.6455,"
",4.7420,"
",4.6415,"
",31.71K, ,1.68%,"
"
"
","Apr 11, 2022","
",4.6495,"
",4.7420,"
",4.7500,"
",4.6395,"
",36.20K, ,-1.86%,"
"
"
","Apr 08, 2022","
",4.7375,"
",4.7240,"
",4.7750,"
",4.7125,"
",27.08K, ,0.61%,"
"
"
","Apr 07, 2022","
",4.7090,"
",4.7100,"
",4.7370,"
",4.6810,"
",23.28K, ,-0.77%,"
"
"
","Apr 06, 2022","
",4.7455,"
",4.7705,"
",4.7930,"
",4.7055,"
",16.34K, ,-1.17%,"
"
"
","Apr 05, 2022","
",4.8015,"
",4.7860,"
",4.8615,"
",4.7585,"
",9.27K, ,0.31%,"
"
"
","Apr 04, 2022","
",4.7865,"
",4.7130,"
",4.8130,"
",4.6950,"
",10.40K, ,1.97%,"
"
"
","Apr 01, 2022","
",4.6940,"
",4.7245,"
",4.7565,"
",4.6750,"
",13.63K, ,-1.29%,"
"
"
","Mar 31, 2022","
",4.7555,"
",4.7510,"
",4.7725,"
",4.7095,"
",10.40K, ,0.02%,"
"
"
","Mar 30, 2022","
",4.7545,"
",4.7550,"
",4.8235,"
",4.7305,"
",12.25K, ,0.45%,"
"
"
","Mar 29, 2022","
",4.7330,"
",4.7235,"
",4.7590,"
",4.7005,"
",7.01K, ,0.10%,"
"
"
","Mar 28, 2022","
",4.7285,"
",4.6910,"
",4.7425,"
",4.6445,"
",7.44K, ,0.61%,"
"
"
","Mar 25, 2022","
",4.7000,"
",4.7300,"
",4.7700,"
",4.6870,"
",5.15K, ,-0.91%,"
"
"
","Mar 24, 2022","
",4.7430,"
",4.7730,"
",4.8130,"
",4.7095,"
",7.50K, ,-0.66%,"
"
"
","Mar 23, 2022","
",4.7745,"
",4.7085,"
",4.7830,"
",4.6905,"
",6.64K, ,1.59%,"
"
"
","Mar 22, 2022","
",4.7000,"
",4.7025,"
",4.7650,"
",4.6800,"
",5.71K, ,-0.21%,"
"
"
","Mar 21, 2022","
",4.7100,"
",4.7170,"
",4.7260,"
",4.6545,"
",4.28K, ,-0.50%,"
"
"
","Mar 18, 2022","
",4.7335,"
",4.6955,"
",4.7530,"
",4.6700,"
",6.43K, ,0.81%,"
"
"
","Mar 17, 2022","
",4.6955,"
",4.6135,"
",4.7110,"
",4.6070,"
",5.83K, ,2.12%,"
"
"
","Mar 16, 2022","
",4.5980,"
",4.5015,"
",4.6365,"
",4.5010,"
",3.97K, ,1.88%,"
"
"
","Mar 15, 2022","
",4.5130,"
",4.5105,"
",4.5415,"
",4.4710,"
",9.07K, ,-0.19%,"
"
"
","Mar 14, 2022","
",4.5215,"
",4.5905,"
",4.6035,"
",4.4950,"
",9.68K, ,-2.11%,"
"
"
","Mar 11, 2022","
",4.6190,"
",4.6270,"
",4.7050,"
",4.5890,"
",5.27K, ,-0.52%,"
"
"
","Mar 10, 2022","
",4.6430,"
",4.5850,"
",4.6655,"
",4.5660,"
",6.51K, ,1.73%,"
"
"
","Mar 09, 2022","
",4.5640,"
",4.7015,"
",4.7790,"
",4.5450,"
",9.10K, ,-2.91%,"
"
"
","Mar 08, 2022","
",4.7010,"
",4.7285,"
",4.9425,"
",4.5925,"
",11.62K, ,-0.38%,"
"
"
","Mar 07, 2022","
",4.7190,"
",4.8965,"
",5.0100,"
",4.6600,"
",15.75K, ,-3.94%,"
"
