"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","May 24, 2021","
","38,772.9","
","34,730.3","
","39,201.0","
","34,730.3","
",15.13K, ,11.64%,"
"
"
","May 23, 2021","
","34,730.3","
","37,585.0","
","38,186.0","
","32,623.0","
",25.99K, ,-7.60%,"
"
"
","May 22, 2021","
","37,585.0","
","37,415.0","
","38,662.0","
","36,150.0","
",13.56K, ,0.45%,"
"
"
","May 21, 2021","
","37,415.0","
","40,550.1","
","41,500.0","
","35,188.0","
",23.31K, ,-7.79%,"
"
"
","May 20, 2021","
","40,578.0","
","36,755.0","
","41,827.0","
","35,198.4","
",25.60K, ,10.40%,"
"
"
","May 19, 2021","
","36,755.0","
","42,935.0","
","42,935.0","
","35,303.4","
",67.82K, ,-14.39%,"
"
"
","May 18, 2021","
","42,935.0","
","43,544.0","
","45,474.0","
","42,611.8","
",10.72K, ,-1.40%,"
"
"
","May 17, 2021","
","43,544.0","
","46,569.0","
","46,569.0","
","42,304.0","
",37.72K, ,-6.52%,"
"
"
","May 16, 2021","
","46,582.9","
","46,784.9","
","49,460.0","
","45,340.0","
",19.06K, ,-0.43%,"
"
"
","May 15, 2021","
","46,784.9","
","49,917.0","
","50,526.2","
","46,784.9","
",9.49K, ,-6.27%,"
"
"
","May 14, 2021","
","49,917.0","
","49,747.0","
","51,168.0","
","49,289.0","
",6.05K, ,0.34%,"
"
"
","May 13, 2021","
","49,747.0","
","49,725.0","
","51,154.0","
","48,120.6","
",21.16K, ,0.04%,"
"
"
","May 12, 2021","
","49,725.0","
","56,715.0","
","57,688.0","
","49,725.0","
",14.96K, ,-12.32%,"
"
"
","May 11, 2021","
","56,715.0","
","55,851.0","
","56,724.0","
","54,789.0","
",7.69K, ,1.55%,"
"
"
","May 10, 2021","
","55,851.0","
","58,276.0","
","59,454.3","
","55,448.0","
",13.49K, ,-4.16%,"
"
"
","May 09, 2021","
","58,276.0","
","58,894.0","
","58,956.5","
","56,977.0","
",8.48K, ,-1.05%,"
"
"
","May 08, 2021","
","58,894.0","
","57,349.0","
","59,327.0","
","57,317.0","
",7.61K, ,2.69%,"
"
"
","May 07, 2021","
","57,349.0","
","56,451.0","
","58,101.0","
","55,606.0","
",6.93K, ,1.59%,"
"
"
","May 06, 2021","
","56,451.0","
","57,487.0","
","57,843.0","
","55,897.0","
",10.44K, ,-1.79%,"
"
"
","May 05, 2021","
","57,477.0","
","52,960.0","
","57,477.0","
","52,960.0","
",7.66K, ,7.91%,"
"
