"
",Date,"
",Price,"
",Open,"
",High,"
",Low,"
",Vol., ,Change %,"
"
"
","Jul 28, 2021","
",688.75,"
",675.00,"
",696.25,"
",673.75,"
",49.23K, ,2.11%,"
"
"
","Jul 27, 2021","
",674.50,"
",680.25,"
",690.00,"
",671.75,"
",50.03K, ,-0.37%,"
"
"
","Jul 26, 2021","
",677.00,"
",684.00,"
",684.00,"
",665.50,"
",43.68K, ,-1.02%,"
"
"
","Jul 23, 2021","
",684.00,"
",688.00,"
",696.75,"
",677.50,"
",42.54K, ,-1.19%,"
"
"
","Jul 22, 2021","
",692.25,"
",708.25,"
",709.00,"
",681.75,"
",63.08K, ,-2.60%,"
"
"
","Jul 21, 2021","
",710.75,"
",701.00,"
",712.00,"
",700.00,"
",52.75K, ,1.46%,"
"
"
","Jul 20, 2021","
",700.50,"
",698.75,"
",718.00,"
",698.25,"
",64.01K, ,0.39%,"
"
"
","Jul 19, 2021","
",697.75,"
",702.75,"
",709.50,"
",694.25,"
",74.22K, ,0.76%,"
"
"
","Jul 16, 2021","
",692.50,"
",671.75,"
",696.25,"
",670.75,"
",75.89K, ,3.05%,"
"
"
","Jul 15, 2021","
",672.00,"
",653.75,"
",673.50,"
",651.25,"
",56.84K, ,4.19%,"
"
"
","Jul 14, 2021","
",645.00,"
",635.88,"
",657.50,"
",632.50,"
",0.03K, ,2.58%,"
"
"
","Jul 13, 2021","
",628.75,"
",636.50,"
",639.50,"
",626.00,"
",0.06K, ,-0.98%,"
"
"
","Jul 12, 2021","
",635.00,"
",610.75,"
",634.75,"
",604.50,"
",0.03K, ,4.35%,"
"
"
","Jul 09, 2021","
",608.50,"
",608.00,"
",612.25,"
",606.50,"
",0.10K, ,-0.61%,"
"
"
","Jul 08, 2021","
",612.25,"
",615.00,"
",618.00,"
",611.75,"
",0.10K, ,-0.41%,"
"
"
","Jul 07, 2021","
",614.75,"
",626.00,"
",626.00,"
",613.75,"
",0.17K, ,-0.85%,"
"
"
","Jul 06, 2021","
",620.00,"
",634.75,"
",634.75,"
",611.00,"
",0.09K, ,-3.99%,"
"
"
","Jul 02, 2021","
",645.75,"
",661.00,"
",662.00,"
",643.75,"
",0.40K, ,-1.94%,"
"
"
","Jul 01, 2021","
",658.50,"
",667.75,"
",683.00,"
",663.00,"
",0.56K, ,-1.94%,"
"
"
","Jun 30, 2021","
",671.50,"
",640.50,"
",673.00,"
",627.50,"
",1.83K, ,4.96%,"
"
"
","Jun 29, 2021","
",639.75,"
",651.00,"
",657.75,"
",638.25,"
",13.02K, ,-0.97%,"
"
"
","Jun 28, 2021","
",646.00,"
",638.00,"
",655.00,"
",637.00,"
",29.18K, ,1.41%,"
"
"
","Jun 25, 2021","
",637.00,"
",650.50,"
",656.75,"
",634.50,"
",38.80K, ,-2.19%,"
"
"
","Jun 24, 2021","
",651.25,"
",660.25,"
",660.75,"
",642.00,"
",29.17K, ,-1.51%,"
"
"
","Jun 23, 2021","
",661.25,"
",653.25,"
",668.25,"
",653.25,"
",40.59K, ,1.57%,"
"
"
","Jun 22, 2021","
",651.00,"
",666.25,"
",672.75,"
",650.75,"
",35.94K, ,-1.59%,"
"
"
","Jun 21, 2021","
",661.50,"
",657.00,"
",673.50,"
",646.50,"
",38.19K, ,-0.19%,"
"
"
","Jun 18, 2021","
",662.75,"
",639.00,"
",668.50,"
",639.00,"
",53.57K, ,3.72%,"
"
"
","Jun 17, 2021","
",639.00,"
",663.75,"
",667.00,"
",637.25,"
",68.26K, ,-3.58%,"
"
"
","Jun 16, 2021","
",662.75,"
",662.00,"
",672.75,"
",658.75,"
",61.56K, ,0.19%,"
"
"
","Jun 15, 2021","
",661.50,"
",674.50,"
",676.25,"
",649.00,"
",68.47K, ,-1.93%,"
"
"
","Jun 14, 2021","
",674.50,"
",680.50,"
",680.75,"
",657.00,"
",67.69K, ,-0.92%,"
"
"
","Jun 11, 2021","
",680.75,"
",682.25,"
",688.00,"
",669.50,"
",80.62K, ,-0.44%,"
"
"
","Jun 10, 2021","
",683.75,"
",684.00,"
",689.25,"
",672.75,"
",103.90K, ,0.22%,"
"
"
","Jun 09, 2021","
",682.25,"
",685.00,"
",686.00,"
",673.50,"
",91.32K, ,-0.40%,"
"
"
","Jun 08, 2021","
",685.00,"
",682.50,"
",699.25,"
",680.25,"
",91.99K, ,0.74%,"
"
"
","Jun 07, 2021","
",680.00,"
",694.25,"
",704.00,"
",678.50,"
",103.02K, ,-1.13%,"
"
"
","Jun 04, 2021","
",687.75,"
",678.50,"
",690.25,"
",676.25,"
",55.84K, ,1.70%,"
"
"
","Jun 03, 2021","
",676.25,"
",689.50,"
",699.25,"
",669.25,"
",60.41K, ,-1.64%,"
"
"
","Jun 02, 2021","
",687.50,"
",692.00,"
",701.50,"
",681.50,"
",65.96K, ,-0.87%,"
"
"
","Jun 01, 2021","
",693.50,"
",673.25,"
",702.00,"
",672.00,"
",75.70K, ,2.95%,"
"
"
","May 31, 2021","
",673.62,"
",673.62,"
",673.62,"
",673.62,"
",-, ,1.43%,"
"
"
","May 30, 2021","
",664.12,"
",664.12,"
",664.12,"
",664.12,"
",-, ,0.09%,"
"
"
","May 28, 2021","
",663.50,"
",676.00,"
",679.75,"
",661.25,"
",56.12K, ,-1.89%,"
"
"
","May 27, 2021","
",676.25,"
",648.25,"
",679.50,"
",648.00,"
",65.47K, ,4.28%,"
"
"
","May 26, 2021","
",648.50,"
",657.00,"
",657.75,"
",639.50,"
",59.95K, ,-1.22%,"
"
"
","May 25, 2021","
",656.50,"
",663.25,"
",667.50,"
",646.75,"
",64.77K, ,-0.87%,"
"
"
","May 24, 2021","
",662.25,"
",667.00,"
",668.75,"
",653.25,"
",57.25K, ,-1.78%,"
"
"
","May 21, 2021","
",674.25,"
",675.50,"
",677.50,"
",665.75,"
",57.46K, ,-0.15%,"
"
"
","May 20, 2021","
",675.25,"
",682.25,"
",688.00,"
",672.25,"
",55.31K, ,-0.59%,"
"
"
","May 19, 2021","
",679.25,"
",698.00,"
",699.00,"
",671.50,"
",77.67K, ,-2.69%,"
"
"
","May 18, 2021","
",698.00,"
",702.50,"
",718.50,"
",692.50,"
",61.42K, ,-0.25%,"
"
"
","May 17, 2021","
",699.75,"
",704.00,"
",707.50,"
",692.00,"
",53.09K, ,-3.78%,"
"
"
","May 14, 2021","
",727.25,"
",730.25,"
",730.25,"
",727.25,"
",0.04K, ,0.10%,"
"
"
","May 13, 2021","
",726.50,"
",750.00,"
",756.50,"
",737.00,"
",0.06K, ,-3.74%,"
"
"
","May 12, 2021","
",754.75,"
",763.00,"
",763.00,"
",746.50,"
",0.08K, ,-0.66%,"
"
